,title
151,"День предполагает успехи в общении, новые знакомства. Сегодня у тебя много жизненных сил, масса активности и энергии. Вполне возможны размолвки с любимым человеком. Впрочем, сегодня они закончатся бурными объятиями и признаниями в любви. Стремление любить и быть любимой сегодня станет особенно сильным. Если будет свободная минутка, займись домашними делами, чтобы никто не обвинил тебя в том, что ты не идеальная хозяйка. С утра ты как сонная черепаха. Может, это и неплохо, но в твоих же интересах быть немного собраннее. Тебе следует закончить все важные дела в первой половине дня. Вечером поторопись на свидание с приятелем, но, не говори того, за что потом будет стыдно."
152,"В этот день лучше исключить воздушные процедуры, заменив их лечением магнитной водой. Вероятен конфликт с кем-то из родственников: постарайся осмотрительно подойти к выяснению отношений - это поможет немного сгладить положение. На работе можно немного отдохнуть. Положение дел в ближайшее время не принесет кропотливой нудной работы. Все дела сегодня будут связаны с финансами: придется отдавать и снова делать долги, заниматься поисками новых заработков. Утром лучше не вступать в споры с начальством. Вспомни о подарках заранее, чтобы потом не бегать в последнюю минуту по магазинам в поисках достойного презента. Вечер проведи в уютной и спокойной обстановке. Отключись от мыслей, займись релаксацией. На ночь прими теплую ароматическую ванну."
153,"Твоему имиджу не хватает искренности. Если ты примешь это к сведению, ты сможешь доказать, что ты способна набольшее. Звезды рекомендуют последить за своим здоровьем, хотя диагностика возможных недомоганий может ничего не выявить. Сегодняшний день может принести тебе некоторые неприятности и осложнения, но если ты все будешь делать правильно, не паниковать, а будешь сначала думать, затем что-либо предпринимать, то все уляжется. Ты не задумывалась, твои ""милые"" выходки терзают не только тебя, но и любимого человека? Тебе нужно понять, что пора изменить положение вещей. Финансовое положение крайне тяжелое, это справедливо и для семейного бюджета в целом."
154,"Перед тобой снова может возникнуть вопрос правильного питания. Финансовое положение крайне тяжелое, это может сказаться на положении твоих друзей. Ты принадлежишь к женщинам, любящих в первую очередь доставлять удовольствие мужчине. Намекни своему любовнику , что ты не прочь взять инициативу в свои руки. От твоих решений наступившим утром зависит то, как пройдет весь день. Звезды подсказывают, что сейчас хорошее время для генерации разного рода планов и наметок. Планы на выходные реализуются, если ты поставишь перед собой реальные цели и задачи."
155,"День начнется с непредвиденной встречи. Не смешивай новости и сплетни. Твои предложения, как провести вечер вызовут одобрение, значит без долгих раздумий бросай работу, и расслабься по полной программе. Сегодня ты будешь чересчур самоуверенной. Тебе следует быть осторожной в своих поступках и высказываниях. В начале дня возможны непредвиденные затраты, это повлечет за собой ограниченность в финансовых возможностях. Однако звезды предсказывают, что есть вероятность восстановления денежного баланса, а сделанные покупки принесут тебе радость. В этот день постарайся провести больше времени со своей половинкой. Иначе кто-то другой может воспользоваться твоей занятостью. Уж не тебя учить, что неприятель застает всегда нас врасплох и предпочитает стрелять в спину. Ты должна быть всегда начеку и вооруженной. Так что постарайся весь день посвятить своему благоверному, займитесь чем-нибудь обоюдоинтересным, кроме того, ничто так не мирит партнеров, как совместное занятие очень важным делом под одним одеялом. Не исключено, что в этот выходной ты будешь заниматься рабочими делами. От твоих знакомых могут исходить предложения очень необычного и заманчивого свойства. Не спеши их принимать, сначала все взвесь и собери соответствующую информацию."
156,"Если будет свободная минутка, займись домашними делами, чтобы твой любимый не обвинил тебя в том, что ты не идеальная хозяйка. Сегодня лучше направь свою энергию в нужное русло: соверши чего-нибудь хорошее дома. Приготовь классный ужин, порадуй своих любимых заботой и вниманием. Твои родные успевают соскучится по тебе за рабочую неделю. Сегодня ты посмотришь на любимого новым взглядом. Вдруг всплывут на поверхность такие его черты, которые и предположить было сложно. Выгодными могут оказаться небольшие операции с финансовыми средствами. Начало дня достаточно оптимистично, хотя твой любимый встал не с той ноги. Не волнуйся. Сегодняшний день не обещает ярких событий, если только ты не озаботишься активными поисками приключений на свою голову. Этим вечером тебе надо постараться восстановить все силы, потраченные за рабочую неделю: отдохни как следует."
157,"Тебя ждут сногсшибательные проекты, похоже, это именно тот момент, которого ты ждала. Нужно разграничить такие понятия, как усталость и лень. Сегодня самый подходящий день для совместных вечеринок. Не очень приятное известие внесет излишнюю суетливость в этот день, а предпринятые усилия окажутся бесполезными. Наступивший день - день разгоряченных эмоций и коренных изменений в отношениях с окружающими. Внеочередное задание шефа может надолго задержать тебя на работе. Самочувствие улучшится. Не поддавайся на уговоры родителей, подумай сама и очень скоро ты будешь четко знать, как выйти победителем."
158,"Весь день ты будешь в центре внимания. День идеален для посещения светских вечеринок или каких-либо культурных мероприятий. В семейных разногласиях прояви терпимость. С сегодняшнего дня ты станешь более удачливой в любви. Неожиданная встреча может перерасти в бурный роман. Остерегайся подвоха в любви. Самое время пообщаться с вышестоящим начальством по поводу повышения зарплаты. Причем сделать это необходимо безотлагательно. Куда-то пропадет твоя бдительность, ты станешь рассеянной. Поэтому сегодня лучше избегай походов по магазинам, контролируй свои траты, внимательнее относись к своим вещам."
159,"В этот день, впрочем, как и всегда, желательно равномерно чередовать работу и отдых, ты не рабочая лошадка, способная вытянуть на себе весь груз работы по дому или на том предприятии, на котором ты числишься. Сегодня младшие члены семьи будут требовать внимания и поддержки. Если не хочешь, чтобы день прошел совершенно бесполезно, проснуться нужно как можно раньше. Постарайся завершить работу в срок, это позволит тебе избежать ненужных трудностей. Сегодня самый подходящий день для совместных вечеринок. Удачно складываются отношения с женщинами. Денежные вопросы непредсказуемы. Тебе следует искать или придумывать что-нибудь новое."
160,"Сегодняшний день может стать достаточно прибыльным. Но для того, чтобы он принес реальный доход, тебе придется серьезно поработать. Помни - твой заработок прямо пропорционален твоим усилиям и способности твоего языка гнать пургу в нужном месте в нужное время. Есть шанс осложнить отношения с окружающими, что в итоге приведет к падению твоей самооценки. Стричь волосы в этот день можно только в том случае, если ты хочешь, чтобы они отрастали медленнее. Сегодня твоя работоспособность будет максимальной, и если не поленишься сегодня , то получишь отличный результат."
161,"Возможно, сегодня придется постараться решить проблемы родственников, им необходимы твои поддержка и помощь. Сегодня тебе лучше всего подойдут светлые оттенки в одежде. В этот день возможны довольно большие финансовые затраты. Приобрети что-нибудь из косметики. Наступивший день таит в себе огромный потенциал в личной сфере, но ты можешь его упустить, если будешь мелочной и раздражительной. День только начался, а ты уже чувствуешь себя усталой. Возможно, это связано со сменой погоды, а может, тебе всерьез пора подумать об отдыхе. Необходимо разделять такую пару понятий, как усталость и лень. Этот день не благоприятен для начала нового дела. Лучше подождать начала следующей недели и уж тогда показать все свои способности."
162,"Запоминающаяся особенность во внешнем виде или макияже случайной встречной может может принести озарение относительно того, как тебе самой хочется выглядеть. Утро - не то время, когда ты можешь расслабиться. Не нужно пробовать сделать то, что еще никому до тебя не удавалось - все равно ничего не получится. Сегодняшний день крайне благоприятен для походов на шашлыки. Тебе просто необходимо перезагрузить нервную систему. Звезды уверяют, что львиная доля твоих бед происходит даже не из-за неграмотного обращения с элементами реальности, сколько из-за чрезмерного усердия, с которым ты взваливаешь на свои плечи множество совершенно излишних проблем. Сама подумай, зачем тебе все это? Отношения со свекровью могут резко ухудшится, если ты не сможешь уступить в нужный момент. Если появились свободные деньги, то имей в виду: день сегодняшний - не самое подходящее время для того, чтобы с ними что-то делать. И, прежде всего, давать в долг даже самую незначительную сумму, даже самым проверенным друзьям, - рискуешь потерять свои сбережения."
163,"Самые важные дела лучше начинай разгребать прямо с утра. Будь внимательнее в обращении с электричеством и газом. Твои предложения, как провести вечер будут приняты на ура, значит смело бросай работу, , так как именно тебе суждено быть заводилой. Тебе очень поможет способность находить контакт с людьми. Этого вполне хватит, чтобы завязать непринужденную беседу. Только не переусердствуй! Подходи ко всему творчески: не торопись и делай то, что тебе нравится! Это воскресенье - оптимальное время для того, чтобы отдохнуть и немного поправить свое здоровье. Отличный день для того, чтобы позаботиться о внешности. Все процедуры, направленные на улучшение твоего внешнего вида, в этот день принесут максимум эффекта. В семейных отношениях ожидаются перемены к лучшему, все старые обиды будут забыты, стоит только проявить капельку терпения. Контролируй эмоции, больше полагайся на разум. Думать надо больше, а потом действовать."
164,"В рабочих делах начинается страда: теперь тебе не придется отступать под натиском обстоятельств. Не забывай - в искусстве любви нет места разным комплексам и страхам. Отбрось напряжение, которое мешает тебе расслабиться и получать наслаждение. В этот день тебя может ожидать знакомство романтического характера, которое состоится при самых обыденных обстоятельствах. Начало рабочей недели - отличное время, чтобы встряхнуться и с новыми силами начинать работать. Если в прошлом у тебя остались неразрешенные ситуации, постарайся проанализировать их и сделать соответствующие выводы. Это даст тебе возможность двигаться вперед и не думать о прошлом. Вероятно, вечером тебя ждет незабываемая встреча с человеком, о котором ты давно мечтала, хотя и боялась себе в этом признаться."
165,"Постарайся привлечь к выполнению работы как можно больше помощников, и ты попробуешь себя в роли руководителя. Сегодня не исключено повышение раздражительности кожи, возможны различные аллергические реакции, не экспериментируй с незнакомыми кремами и лосьонами. Используй давно опробованные косметическими средствами. Сейчас полезно видоизменять свой стиль, привносить ощущение наивности, даже детскости в свою имиджевую концепцию. Звезды не рекомендуют окунаться в волны влечения и желания. Потом крупно пожалеешь! А чтобы этого не случилось, сдерживай свою сексуальность."
166,"Сегодня, общаясь со своими родными, ты можешь с удивлением понять, что в глубине души очень тепло относишься к ним, несмотря на все ваши разногласия и ссоры. День благоприятный, спокойный и уравновешенный. Не забывай, что близкие отношения не терпят вмешательства посторонних, спешки и грубых намеков. Постарайся быть предельно тактичной с близким человеком. Сегодня, используя свое обаяние и дипломатические способности, ты сможешь собрать под свой флаг огромную армию сторонников, и все вместе вы быстро справитесь с любыми делами. Желательно разобраться в накопившихся бумажных делах. Не теряй связей со старыми друзьями."
167,"Старая дружба обернется новой любовью. Возможно, когда проснёшься, у тебя будет побаливать голова - не унывай, ведь день только начинается, а голова довольно быстро пройдёт. В этот день можешь смело браться за любые проекты, даже самые необычные и неожиданные. Вечером поторопись на рандеву с другом, но, не делай того, за что придется просить прощения. Сегодня велика вероятность того, что давно задуманные планы воплотятся в жизнь. Сегодня не самое подходящее время искать правду на работе, начальство воспримет твои попытки как личное оскорбление. Дамы в годах предрасположены сердечным недомоганием от неправильного обмена веществ, а также к заболеваниям позвоночника и суставов. Финансовые средства сильно ограничены, так что очень аккуратно распоряжайся ими."
168,"Продумай план необходимых покупок и не отклоняйся от него, потому что шаг влево, шаг вправо - и твое финансовое положение значительно ухудшится. Может произойти так, что именно сегодня ты забудешь дома любимую расческу - не стоит из этого делать трагедию. С этого момента ты поймешь, что стала более везучей во всем, что связано с общением. Возможно, ты найдёшь ответы на вопросы в своей второй половинке. Откройся перед партнером. Не стоит допускать действий наугад. Отложенные в долгий ящик дела лучше попытаться разрешить спозаранку. Используй этот день для отдыха и восстановления сил. Поскольку звезды говорят , что это идеальный момент именно для этого. Новые долгосрочные проекты лучше не начинать, потому что наступающие выходные развеют весь твой пыл."
169,"В этот день можно ожидать необычного подарка или сюрприза от твоего молодого человека. От твоих поступков этим утром зависит то, как пройдет остаток дня. Не поддавайся сожалениям о былом, и тогда твои замыслы осуществятся. Устрой себе приятный вечер, послушай легкую музыку, хорошо подействует на твое настроение общение с природой. Сегодня ты будешь излишне доверчива, впрочем, это тебе не повредит. Пытаться обвести тебя вокруг пальца сегодня никто не собирается, а поверить каким-нибудь безобидным небылицам не очень страшно. Сегодня ты с тяжелым чувством посвятишь свободное время детям. И, возможно, тебе это даже понравится. Полезны все процедуры, связанные с водой."
170,"Твоими вкусами легко манипулировать, но, с другой стороны, ты можешь ощутить себя в новых образах. Что касается семейных отношений - настал момент для планирования совместного отдыха. Избегай серьезных приобретений, неоправданных растрат. Не стоит пытаться сделать все дела в первой половине дня, иначе к вечеру ты будешь совершенно уставшая. Если ты ощущаешь свою вину в связи с какими-то недавними событиями, сегодня подходящий день, чтобы извиниться. Ты заслуживаешь вознаграждения: в последнее время ты так усердно трудилась, что просто необходимо устроить маленький праздник. Не проводи сегодняшний день дома, бери под мышку своего бой-френда и вперед, в народ. Если финансы не располагают тем, чтобы посетить какой-нибудь уютный бар, то можно провести этот вечер с друзьями за бутылочкой чего-нибудь горячительного. Хотя и чай тоже подойдет. Расположение луны предполагает повышенный интерес даже к тем сферам, которые тебя никоим образом не касаются. Но помни: проникая в чужую жизнь, ты можешь приобрести себе недоброжелателей. Сегодня твоя главная цель - не вызывать призраков из прошлого."
171,"Утро этого дня может стать чередой напрягов: от мимолетных до довольно серьезных. Не стоит расстраиваться по мелочам, и тогда все будет нормально. Но вечером ты будешь привлекать особенное внимание. Ощущение невесомости и эмоциональный подъем могут помочь тебе в решении большей части неприятностей. Откажись от экстравагантных приобретений, неоправданных трат. Ты уже начинаешь свыкаться со своей сложной, функцией неофициального лидера. На твои плечи ложится ответственность за текущие дела. Сегодня, вероятно, напомнит о себе хроническое заболевание. Самое время ответственно отнестись к своему организму. Очень большая нагрузка на нервную систему."
172,"Тебя ожидает особый и значительный день. Возможен неожиданный поворот судьбы. Крайне тяжелое финансовое положение, в этом стоит винить только себя. Твои личные отношения становятся серьезней, постарайся это понять. Человек, с которым ты едва знакома, уже готов к новой фазе ваших отношений. Звезды советуют, что не следует быть слишком нерешительной в вопросах, касающихся твоего здоровья. В первой половине дня придется призвать на помощь все свое спокойствие, чтобы не наделать глупостей. Не старайся примирить или рассудить кого-то из знакомых. Это выльется в напрасную трату сил. К вечеру снова станут актуальными вопросы в общении с близкими, но на этот раз у тебя будут все шансы справиться с ситуацией и не отступить перед трудностями."
173,"В семье обстановка стабильная, дети только могут немного захворать, удели им внимание. День благоприятный, спокойный и уравновешенный. Сегодня сделай для своего любимого что-нибудь романтичное. Например, приготовь шикарный подарок от всего сердца. Собираясь на работу, тщательнее подходи к выбору духов. Сегодня тебе дадут чувство уверенности восточно-ванильные нотки в твоем аромате. Это утро обещает поставить тебя в двусмысленное положение. Сегодня тебе необходимо с максимальной осторожностью присматриваться к мелочам, насколько бы глобальны ни были занимающие тебя вопросы. Стоит проглядеть одну, и назавтра одной проблемой станет больше. Во второй половине дня ты получишь интересную информацию, которая может очень пригодится в ближайшее время."
174,"Обращайся аккуратнее с ножами и иголками - не исключена вероятность травм. С утра старайся не думать о предстоящих тяготах дня. Это не принесет ничего, кроме плохого настроения. Тебе нужно постараться закончить все важные дела в первой половине дня. Обсуждение самых волнующих вопросов постарайся отложить на вечер. Сегодня ты будешь чересчур самоуверенной. Постарайся быть поосторожнее в делах и высказываниях. Вероятны бесперспективные финансовые операции (кредиты, покупки и так далее). Все это будет сопровождаться неприятным диалогом по поводу морали, который ты будешь вести с самой собой. Удовольствие и прекрасное расположение духа принесет общение с любимым человеком. Движущей энергией дня является страсть. Не скрывай своих эмоций. Хороший день для любовного свидания."
175,"Постарайся почувствовать, как бы тебе хотелось выглядеть, чтобы нравится самой себе, и старайся следовать идеалу. Не обделяй своей заботой членов семьи. Они нуждаются в том, чтобы ты поговорила с ними. Сон, увиденный ночью, может сбыться. Не жалуйся на отсутствие внимания и понимания. И если захочешь немного расслабиться, просто отложи эти вопросы на время. Несмотря на трудовую неделю, лежащую позади, ты не чувствуешь себя утомленной. Планируй на субботу-воскресенье активный отдых и праздничный ужин в кругу семьи. В этот день велика возможность того, что твои планы осуществятся. Самочувствие, вероятно, улучшится, и вообще, ты сможешь сознательно его контролировать."
176,"Сегодня утром у тебя хорошее настроение. Веский повод заразить окружающих своим весельем! Вероятно, сегодня тебе предстоит совершить важный шаг. Сегодня обязательно постарайся провести как можно больше времени за спортивными занятиями. Это позволит тебе чувствовать себя более активной. Некие изменения наметятся в жизни, если ты будешь решительнее и напористее. Не самый лучший день для любовного свидания с твоим кавалером. Лучше подожди более удачного расположения светил. Сегодня ты не сможешь хоть как-нибудь управлять ходом событий. Даже не пытайся, напрасно потратишь время и силы. Старайся в эту субботу не сидеть дома, погуляй, и у тебя есть замечательный шанс встретить свою судьбу, только в это надо поверить."
177,"Этот день может оказаться достаточно удачным с финансовой точки зрения. Но для того, чтобы что-то заработать, тебе придется много потрудиться и посуетиться. Помни - твой заработок прямо пропорционален твоим усилиям и способности твоего языка гнать пургу в нужное время в нужном месте. Обрати пристальное внимание на душевное состояние членов семьи. Иначе ты можешь оказаться виноватой в их проблемах. Не отмахивайся от первых симптомов простуды, так как необходимые профилактические мероприятия сохранят тебе здоровье и бодрость. В противном случае на тебя могут напасть хронические заболевания. Не стоит обращать внимание на сновидения и приметы. Тебе следует быть аккуратнее в своих высказываниях. Постарайся обещать только то, что сможешь выполнить. Займись процедурами, дающими возможность немного сбросить напряжение. Неплохо было бы выехать на природу. Могут открыться новые возможности, используй этот момент времени. Не исключены перемены в отношениях с любимым."
178,"Учти, сегодня начесом злоупотреблять не стоит. Утро этого дня может стать чередой напрягов: от мимолетных до довольно серьезных. Тебе придется сосредоточиться и попытаться найти выход из создавшегося положения. Вечером наведи порядок в мыслях, вещах и бумагах. Даже заурядное событие кажется удивительным, когда случается впервые. Сегодняшний день может преподнести тебе подобное переживание. Не волнуйся - все будет хорошо, ведь у тебя есть поддержка друзей и близких. С властями вероятно сложатся прохладные отношения из-за несвоевременной уплаты налогов или других платежей. Этот день состоится достаточно удачным, если ты с утра не натворишь глупостей."
179,"Если есть желание ощутить себя на высоте, тогда легкая пробежка или прогулка на свежем воздухе надолго зарядит тебя энергией и бодростью. Также можешь заняться своей внешностью: сделай всевозможные маски, припарки, массаж. Не самый удачный день для романтических встреч и свиданий. Лучше дождись более удачного расположения небесных знаков. Аккуратнее с холодными помещениями, твоя поясница сегодня уязвима. Обрати внимание на настроение близких. Это будет приятно и тебе, и родным."
180,"Вряд ли стоит не обращать внимания на ухудшение самочувствия, необходимо сразу принять профилактические меры. Нужно помнить, что любую болезнь проще вылечить на первой стадии развития. С этого дня судьба оказывается под твоим контролем. Ты сама сможешь решать, подчиняться ли воле обстоятельств или нет. Сегодня самое время сказать ""да"", если ты этого еще не сделала. Но ни в коем случае не заявляй сегодня кому бы то ни было о своей самостоятельности, если, конечно, в твои планы не входит ссора. Отнесись с пониманием к поведению своих близких. Не забывай, что нет идеальных людей, у нас у всех есть недостатки. День изначально будет для тебя удачным. А во второй половине дня и вовсе стоит ожидать чуда. Постарайся правильно тратить свою энергию. Немного поднимут настроение встречи и общение с друзьями, которые лучше проводить ближе к вечеру."
181,"Положительный эффект принесут процедуры, которые оказывают влияние на электрическое состояние жидкости в организме, то есть животное электричество или лечение экстрасенсов. До обеда старайся избегать всех финансовых операций. Постарайся не совершить ошибок. Не спеши с серьезными решениями, серьезно продумай последствия. Не стоит по пустякам обижаться на своих близких. Помни, что нет идеальных людей, все мы состоим из достоинств и недостатков. Хорошая подруга посоветует, как поступить в романтических делах. Сегодняшнее утро - время для серьезных и продуманных действий. Было бы не плохо посетить те места, где ты давно не была. Вечером у тебя появятся все козыри стать похожей на настоящую светскую бабочку. Скорее всего, тебе предстоит провести время в компании знаменитостей."
182,"Удели больше внимания своему любимому - окутай его любовью и нежностью. Можешь намекнуть, что от него ожидается в будущем такое же проявление романтических чувств. В первую половину дня желательно, в конце концов, приступить к реализации своих замыслов. Сегодня рекомендуется завершать все дела и избавляться от того, что тебе мешает. Вечером лучше всего встретиться со старой подругой, вы давно уже не общались. C тех пор многое изменилось, и вам есть что рассказать друг другу. Вероятно, откроются новые возможности, сумей ими вовремя воспользоваться. У тебя хороший изначальный иммунитет, но чтобы он проявился, нужно вести соответствующий образ жизни, в основном подвижный. Постарайся быть достаточно уравновешенной в отношениях с близкими людьми, чтобы не спровоцировать конфликт. С одной стороны, сегодняшний день неблагоприятен для достижений на работе или в учебе, во-вторых, может принести приятный сюрприз в интимной жизни."
183,"Этим утром у тебя хорошее расположение духа. Веский повод над кем-нибудь пошутить! Учись грамотно расходовать свои силы. Вечер стоит провести в тишине и спокойствии, не помешает немного помедитировать. Вероятны необъяснимые и непредсказуемые события, особенно во второй половине дня. Обращайся аккуратнее с ножами и иголками - есть опасность травм. У семейных женщин появится необходимость уделить внимание младшему члену семьи. Для независимых и свободных женщин основным моментом станет творческая самореализация. Попытайся не делай с твоими деньгами легкомысленных поступков (вроде покупки недвижимости в Океане спокойствия на луне или пожертвований на домики для бездомных поросят)."
